Text,Positive Value,Negative Value,Difference,Word Count
"for Bigger.  Yeah; I know what you mean. It s like you going to fall and don t know where you going to land _. ùGus s voice trailed off. The sun slid behind a big white cloud and the street was plunged in cool shadow; quickly the sun edged forth again and it was bright and warm once more. A long sleek black car, its fenders glinting like glass in the sun, shot past them at high speed and turned a corner a few blocks away. Bigger pursed his lips and sang: Zoooooooooom! ù They got everything, ù Gus said.  They own the world, ù Bigger said.  Aw, what the hell, ù Gus said.  Let s go in the poolroom. ù  ù They walked toward the door of the poolroom.  Say, you taking that job you told us about? ù Gus asked.  I don t know. ù  You talk like you don t want it. ù  Oh, hell, yes! I want the job, ù Bigger said. They looked at each other and laughed. They went inside. The poolroom was empty, save for a fat, black man who held a half smoked, unlit cigar in his mouth and leaned on the front counter. To the rear burned a single green-shaded bulb.  Hi, Doc, ù Bigger said.  You boys kinda early this morning, ù Doc said.  Jack or G.H. around yet? ù Bigger asked. Naw, ù Doc said.  Let s shoot a game, ù Gus said.  I m broke, ù Bigger said.  I got some money. ù  Switch on the light. The balls are racked, ù Doc said. Bigger turned on the light. They lagged for first shot. Bigger won. They started playing. Bigger s shots were poor; he was thinking of Blum s, fascinated with the idea of the robbery, and a little ",0.025735294,0.029411765,-0.003676471,303
afraid ,0.5,0.5,0,1
"of it.  Remember what we talked about so much? ù Bigger asked in a flat, neutral tone. Naw. ù Old Blum. ù  Oh, ù Gus said.  We ain t talked about that for a month. How come you think of it all of a sudden? ù  Let s clean the place out. ù  I don t know. ù  It was your plan from the start, ù Bigger said. Gus straightened and stared at Bigger, then at Doc who was looking out of the front window.  You going to tell Doc? Can t you never learn to talk low? ù  Aw, I was just asking you, do you want to try it? ù  Naw. ù How come? You scared  cause he s a white man? ù  Naw. But Blum keeps a gun. Suppose he beats us to it? ù  Aw, you scared; that s all. He s a white man and you scared. ù  The hell I m scared, ù Gus, hurt and stung, defended himself. Bigger went to Gus and placed an arm about his shoulders.  Listen, you won t have to go in. You just stand at the door and keep watch, see? Me and Jack and G.H. ll go in. If anybody comes along, you whistle and we ll go out the back way. That s all. ù The front door opened; they stopped talking and turned their heads.  Here comes Jack and G.H. now, ù Bigger said. Jack and G.H. walked to the rear of the poolroom.  What you guys doing? ù Jack asked.  Shooting a game. Wanna play? ù Bigger asked.  You asking  em to play and I m paying for the game, ù Gus said. They all laughed and Bigger laughed with them but stopped quickly. ",0.0234375,0.01953125,0.00390625,291
He felt that the joke was on him ,0.222222222,0,0.222222222,8
"and he took a seat alongside the wall and propped his feet upon the rungs of a chair, as though he had not heard. Gus and G.H. kept on laughing.  You niggers is crazy, ù Bigger said.  You laugh like monkeys and you ain t got nerve enough to do nothing but talk. ù  What you mean? ù G.H. asked.  I got a haul all figured out, ù Bigger said.  What haul? ù  Old Blum s. ù There was silence. Jack lit a cigarette. Gus looked away, avoiding the conversation.  If old Blum was a black man, you-all would be itching to go.  Cause he s white, everybody s scared. ù  I ain t scared, ù Jack said.  I m with you. ù  You say you got it all figured out? ù G.H. asked. Bigger took a deep breath and looked from face to face. It seemed to him that he should not have to explain.  Look, it ll be easy. There ain t nothing to be scared of. Between three and four ain t nobody in the store but the old man. The cop is way down at the other end of the block. One of us ll stay outside and watch. Three of us ll go in, see? One of us ll throw a gun on old Blum; one of us ll make for the cash box under the counter; one of us ll make for the back door and have it open so we can make a quick get-away down the back alley _. That s all. It won t take three minutes. ù  I thought we said we wasn t never going to use a gun, ù G.H. said.  And we ain t bothered no white folks before. ù  Can t you see? This is something big, ù Bigger said.He waited for more objections. When none were forthcoming he talked again.  We can do it, if you niggers ain t scared. ù Save for the sound of Doc s whistling up front, there was silence. Bigger watched Jack closely; he knew that the situation was one in which Jack s word would be decisive. Bigger was ",0.021671827,0.024767802,-0.003095975,360
afraid ,0.5,0.5,0,1
"of Gus, because he knew that Gus would not hold out if Jack said yes. Gus stood at the table, toying with a cue stick, his eyes straying lazily over the billiard balls scattered about the table in the array of an unfinished game. Bigger rose and sent the balls whirling with a sweep of his hand, then looked straight at Gus as the gleaming balls kissed and rebounded from the rubber cushions, zig-zagging across the table s green cloth. Even though Bigger had asked Gus to be with him in the robbery, the ",0.031914894,0.021276596,0.010638298,94
fear ,0.5,0.5,0,1
that Gus would really go made the muscles of Bigger s stomach tighten; he was hot all over. ,0.111111111,0,0.111111111,18
He felt as if he wanted to sneeze and could not; ,0.083333333,0,0.083333333,11
only it was more ,0.2,0,0.2,4
nervous ,0.5,0.5,0,1
"than wanting to sneeze. He grew hotter, tighter; his nerves were taut and his teeth were on edge. ",0.052631579,0,0.052631579,18
He felt that something would soon snap within him. ,0.1,0,0.1,9
" Goddammit! Say something, somebody! ù  I m in, ù Jack said again.  I ll go if the rest goes, ù G.H. said. Gus stood without speaking and Bigger felt a curious sensation îhalf-sensual, half-thoughtful. He was divided and pulled against himself. He had handled things just right so far; all but Gus had consented. The way things stood now there were three against Gus, and that was just as he had wanted it to be. Bigger was ",0.055555556,0.041666667,0.013888889,77
afraid ,0.5,0.5,0,1
of robbing a white man and he knew that Gus was ,0.166666667,0,0.166666667,11
"afraid, ",0.5,0.5,0,1
"too. Blum s store was small and Blum was alone, but Bigger could not think of robbing him without being flanked by his three pals. But even with his pals he was ",0.0625,0,0.0625,32
afraid. ,0.5,0.5,0,1
"He had argued all of his pals but one into consenting to the robbery, and toward the lone man who held out ",0.043478261,0.043478261,0,22
he felt a hot hate ,0.333333333,0,0.333333333,5
and ,0.5,0,0.5,1
fear; ,0.5,0.5,0,1
he had transferred his fear of the whites to Gus. He,0,0.090909091,-0.090909091,11
hated ,0.5,0,0.5,1
Gus because he knew that Gus was ,0.125,0,0.125,7
"afraid, ",0.5,0.5,0,1
as even he was; and he ,0.285714286,0,0.285714286,6
feared ,0.5,0,0.5,1
Gus because ,0.333333333,0,0.333333333,2
he felt that Gus would consent and then he would be compelled to go through with the robbery. ,0.052631579,0,0.052631579,18
Like a man about to shoot himself and ,0.111111111,0,0.111111111,8
dreading ,0.5,0,0.5,1
"to shoot and yet knowing that he has to shoot and feeling it all at once and powerfully, he watched Gus and waited for him to say yes. But Gus did not speak. Bigger s teeth clamped so tight that his jaws ached. He edged toward Gus, not looking at Gus, but feeling the presence of Gus over all his body, through him, in and out of him, and ",0.028985507,0,0.028985507,69
hating ,0.5,0,0.5,1
himself and Gus because he felt it. Then he could not stand it any longer. The hysterical ,0.055555556,0.055555556,0,17
tensity ,0.5,0,0.5,1
"of his nerves urged him to speak, to free himself. He faced Gus, his eyes red with ",0.111111111,0,0.111111111,17
anger ,0.5,0.5,0,1
and ,0.5,0,0.5,1
"fear, ",0.5,0.5,0,1
"his fists clenched and held stiffly to his sides. You black sonofabitch, ù he said in a voice that did not vary in tone.  You scared  cause he s a white man. ù Don t cuss me, Bigger, ù Gus said quietly. I am cussing you! ù""You don t have to cuss me, ù Gus said. Then why don t you use that black tongue of yours? ù Bigger asked.  Why don t you say what you going to do? ù I don t have to use my tongue unless I want to! ù You bastard! You scared bastard! ù You ain t my boss, ù Gus said. You yellow! ù Bigger said.  You scared to rob a white man. ù Aw, Bigger. Don t say that, ù G.H. said.  Leave  im alone. ù  He s yellow, ù Bigger said.  He won t go with us. ù I didn t say I wouldn t go, ù Gus said. Then, for Chrissakes, say what you going to do, ù Bigger said.Gus leaned on his cue stick and gazed at Bigger and Bigger s stomach tightened as though he were expecting a blow and were getting ready for it. His fists clenched harder. In a split second ",0.024390244,0.048780488,-0.024390244,205
"he felt how his fist and arm and body would feel if he hit Gus squarely in the mouth, drawing blood; ",0.090909091,0.090909091,0,21
"Gus would fall and he would walk out and the whole thing would be over and the robbery would not take place. And his thinking and feeling in this way made the choking tightness rising from the pit of his stomach to his throat slacken a little.  You see, Bigger, ù began Gus in a tone that was a compromise between kindness and pride.  You see, Bigger, you the cause of all the trouble we ever have. It s your hot temper. Now, how come you want to cuss me? Ain t I got a right to make up my mind? Naw: that ain t your way. You start cussing. You say I m scared. It s you who s scared. You scared I m going to say yes and you ll have to go through with the job _. ù Say that again! Say that again and I ll take one of these balls and sink it in your Goddamn mouth, ù Bigger said, his pride wounded to the quick. Aw, for Chrissakes, ù Jack said. You see how he is, ù Gus said. Why don t you say what you going to do? ù Bigger demanded. Aw, I m going with you-all, ù Gus said in a nervous tone that sought to hide itself; a tone that hurried on to other things. ""I m going, but Bigger don t have to act like that. He don t have to cuss me. ù Why didn t you say that at first? ù Bigger asked; his anger amounted almost to frenzy.  You make a man want to sock you! ù  _I ll help on the haul, ù Gus continued, as though Bigger had not spoken.  I ll help just like I always help. But I ll be Goddamn if I m taking orders from you, Bigger! You just a scared coward! You calling me scared so nobody ll see how scared you is! ùBigger leaped at him, but Jack ran between them. G.H. caught Gus s arm and led him aside. Who s asking you to take orders? ù Bigger said.  I never want to give orders to a piss-sop like you! ù You boys cut out that racket back there! ù Doc called.They stood silently about the pool table. Bigger s eyes followed Gus as Gus put his cue stick in the rack and brushed chalk dust from his trousers and walked a little distance away. Bigger s stomach burned and a hazy black cloud hovered a moment before his eyes, and left. Mixed images of violence ran like sand through his mind, dry and fast, vanishing. He could stab Gus with his knife; he could slap him; he could kick him; he could trip him up and send him sprawling on his face. He could do a lot of things to Gus for making him feel this way. Come on, G.H., ù Gus said. Where we going? ù Let s walk. ù ù What we gonna do? ù Jack asked.  Meet here at three? ù Sure, ù Bigger said.  Didn t we just decide? ù I ll be here, ù Gus said, with his back turned.When Gus and G.H. had gone Bigger sat down and felt cold sweat on his skin. It was planned now and he would have to go through with it. His teeth gritted and the last image he had seen of Gus going through the door lingered in his mind. He could have taken one of the cue sticks and gripped it hard and swung it at the back of Gus s head, feeling the impact of the hard wood cracking against the bottom of the skull. The ",0.023765996,0.043875686,-0.020109689,614
tight feeling ,0.333333333,0,0.333333333,2
"was still in him and he knew that it would remain until they were actually doing the job, until they were in the store taking the money. You and Gus sure don t get along none, ù Jack said, shaking his head.Bigger turned and looked at Jack; he had forgotten that Jack was still there. Aw, that yellow black bastard, ù Bigger said. He s all right, ù Jack said. He s scared, ù Bigger said.  To make him ready for a job, you have to make him scared two ways. You have to make him more scared of what ll happen to him if he don t do the job than of what ll happen to him if he pulls the job. ù If we going to Blum s today, we oughtn t fuss like this, ù Jack said.  We got a job on our hands, a real job. ù Sure. Sure, I know, ù Bigger said.Bigger ",0.03649635,0.02919708,0.00729927,158
felt an urgent need to hide ,0.142857143,0.285714286,-0.142857143,6
his growing and deepening feeling of ,0.142857143,0.142857143,0,6
hysteria; ,0.5,0.5,0,1
he had to get rid of it or else he would succumb to it. He ,0.0625,0,0.0625,15
longed ,0.5,0,0.5,1
for a stimulus powerful enough to focus his attention and drain off his energies. He wanted to run. Or listen to some swing music. Or laugh or joke. Or read a Real Detective Story Magazine. Or go to a movie. Or visit Bessie. All that morning he had lurked behind his curtain of ,0.074074074,0.037037037,0.037037037,53
indifference ,0.5,0.5,0,1
"and looked at things, snapping and glaring at whatever had tried to make him come out into the open. But now he was out; the thought of the job at Blum s and the tilt he had had with Gus had snared him into things and his self-trust was gone. Confidence could only come again now through action so violent that it would make him forget. These were the rhythms of his life: ",0.04109589,0.02739726,0.01369863,73
indifference ,0.5,0.5,0,1
and ,0.5,0,0.5,1
violence; ,0.5,0,0.5,1
periods of abstract ,0.25,0,0.25,3
brooding ,0.5,0,0.5,1
and periods of intense ,0.2,0,0.2,4
desire; ,1,0,1,1
"moments of silence and moments of anger îlike water ebbing and flowing from the tug of a far-away, invisible force. Being this way was a need of his as deep as eating. He was like a strange plant blooming in the day and wilting at night; but the sun that made it bloom and the cold darkness that made it wilt were never seen. It was his own sun and darkness, a private and personal sun and darkness. He was bitterly proud of his swiftly changing moods and boasted when he had to suffer the results of them. It was the way he was, he would say; he could not help it, he would say, and his head would wag. And it was his sullen stare and the violent action that followed that made Gus and Jack and G.H. ",0.021582734,0.071942446,-0.050359712,139
hate ,0.5,0,0.5,1
and ,0.5,0,0.5,1
fear ,0.5,0.5,0,1
him as much as he ,0.166666667,0,0.166666667,5
hated ,0.5,0,0.5,1
and ,0.5,0,0.5,1
feared ,0.5,0,0.5,1
"himself. Where you want to go? ù Jack asked.  I m tired of setting. ù Let s walk, ù Bigger said.They went to the front door. Bigger paused and looked round the poolroom with a wild and exasperated expression, his lips tightening with ",0.027027027,0.054054054,-0.027027027,43
resolution.,0,0,0,1
" Goin ? ù Doc asked, not moving his head. Yeah, ù Bigger said. See you later, ù Jack said.They walked along the street in the morning sunshine. They waited leisurely at corners for cars to pass; it was not that they feared cars, but they had plenty of time. They reached South Parkway smoking freshly lit cigarettes. I d like to see a movie, ù Bigger said. Trader Horn s running again at the Regal. They re bringing a lot of old pictures back. ù How much is it? ù Twenty cents. ù O.K. Let s see it. ùThey walked six blocks in silence. It was eleven-thirty when they reached Forty-seventh Street and South Parkway and the Regal was just opening. They bought tickets and walked into the darkened movie and took seats. The picture had not yet started and they sat listening to the pipe organ playing low and soft. Bigger moved restlessly and his breath quickened; he looked round in the shadows to see if any attendant was near, then slouched far down in his seat. He glanced at Jack and saw that Jack was watching him out of the corners of his eyes. They both laughed. You at it again? ù Jack asked. I m polishing my nightstick, ù Bigger said.They giggled. I ll beat you, ù Jack said. Go to hell. ùThe organ played for a long moment on a single note, then died away. I ll bet you ain t even hard yet, ù Jack whispered. I m getting hard. ù Mine s like a rod, ù Jack said with intense ",0.026431718,0.013215859,0.013215859,266
pride.,1,0,1,1
" I wished I had Bessie here now, ù Bigger said.  I could make old Clara moan now. ùThey sighed. I believe that woman who passed saw us. ù So what? ù If she comes back I ll throw it in her. ù You a killer. ù If she saw it she d faint. ù Or grab it, maybe. ù Yeah. ùBigger saw Jack lean forward and stretch out his legs, rigidly. You gone? ù Yee-eeah _. ù You pull off fast _. ùAgain they were silent. Then Bigger leaned forward, breathing hard. I m gone _. God _. damn _. ùThey sat still for five minutes, slumped down in their seats. Finally, they straightened. I don t know where to put my feet now, ù Bigger said, laughing.  Let s take another seat. ù ùThey moved to other seats. The organ still played. Now and then they glanced back up to the projector s room high in the rear of the theatre. They were ",0.015873016,0.007936508,0.007936508,164
impatient ,0.5,0.5,0,1
"for the picture to start. When they spoke again their voices were throaty, drawling, tinged with ",0.058823529,0,0.058823529,16
uneasiness.,0,1,-1,1
" You reckon it ll go all right? ù Bigger asked.  Maybe. ù  I d just as soon go to jail as take that relief job. ù Don t say that. ù I don t give a damn. ù Let s think about how we ll do it, not about how we ll get caught. ù Scared? ù Hell, naw. ùThey listened to the pipe organ. It was humming so low that it could scarcely be heard. There were times when it seemed to stop altogether; then it would surge forth again, mellow, nostalgic, sweet. We better take our guns this time, ù Bigger said. O.K. But we gotta be careful. We don t wanna kill nobody. ù Yeah, but I ll feel safer with a gun this time. ù Gee, I wished it was three now. I wished it was over. ù Me too. ùThe organ stopped and the screen flashed with the rhythm of moving shadows. Bigger sat looking at the first picture; it was a newsreel. As the scenes unfolded his ",0.056338028,0.014084507,0.042253521,173
interest ,1,0,1,1
"was caught and he leaned forward. He saw images of smiling, dark-haired white girls lolling on the gleaming sands of a beach. The background was a stretch of sparkling water. Palm trees stood near and far.The voice of the commentator ran with the movement of the film: Here are the daughters of the rich taking sunbaths in the sands of Florida! This little collection of debutantes represents over four billion dollars of America s wealth and over fifty of America s leading families _. Some babies, ù Jack said. Yeah, man! ù I d like to be there. ù  You can, ù Bigger said.  But you d be hanging from a tree like a bunch of bananas _. ùThey laughed softly and easily, listening to the commentator s voice. The scene shifted to and fro over the glittering sands. Then Bigger saw in close-up the picture of a slight, smiling white girl whose waist was encircled by the arms of a man. He heard the commentator s voice: Mary Dalton, daughter of Chicago s Henry Dalton, 4605 Drexel Boulevard, shocks society by spurning the boys of La Salle Street and the Gold Coast and accepting the attentions of a well-known radical while on her recent winter vacation in Florida _. The close-up showed the smiling girl kissing the man, who lifted her up and swung her round from the camera.  Say, Jack? ù  Hunh? ù  That gal _. That gal there in that guy s arms _. That s the daughter of the guy I m going to work for. They live at 4605 Drexel _. That s where I m going tonight to see about that job _. ù  For real? ù  Sure! ù The close-up faded and the next scene showed only the girl s legs running over the sparkling sands; they were followed by the legs of the man running in pursuit. The words droned on: Ha! He s after her! There! He s got her! Oh, boy, don t you wish you were down here in Florida? The close-up faded and another came, showing two pairs of legs standing close together. Oh, boy! said the voice. Slowly, the girl s legs strained upward until only the tips of her toes touched the sand. Ah, the naughty rich! There was a slow fade-out, while the commentator s voice ran on: Shortly after a scene like this, shocked Mama and Papa Dalton summoned Mary home by wire from her winter vacation and denounced her Communist friend.  Say, Jack? ù  Yeah. ù  What s a Communist? ù  Damn if I know. It s a race of people who live in Russia, ain t it? ù  That guy who was kissing old man Dalton s daughter was a Communist and her folks didn t like it. ù  Rich people don t like Communists. ù  She was a hot-looking number, all right. ù  Sure, ù said Jack.  When you start working there you gotta learn to stand in with her. Then you can get everything you want, see? These rich folks do their dirt on the sly. I bet the reason the old man was so mad about that Communist was  cause his gal was too open about it _. ù Yeah; maybe so, ù said Bigger.  Shucks, my ma use to work for rich white folks and you ought to hear the tales she used to tell _. ù What kind of tales? ù Bigger asked ",0.044487427,0.023210832,0.021276596,576
eagerly. ,1,0,1,1
" Ah, them rich white women ll go to bed with anybody, from a poodle on up. They even have their chauffeurs. Say, ù Jack said, punching Bigger in the ribs,  if you run across anything too much for you to handle at that place, let me know. ù They laughed. Bigger turned his eyes to the screen, but he did not look. He was filled with a sense of ",0.074626866,0,0.074626866,69
excitement ,1,0,1,1
"about his new job. Was what he had heard about rich white people really true? Was he going to work for people like you saw in the movies? If he were, then he d see a lot of things from the inside; he d get the dope, the low-down. He looked at Trader Horn unfold and saw pictures of naked black men and women whirling in wild dances and heard drums beating and then gradually the African scene changed and was replaced by images in his own mind of white men and women dressed in black and white clothes, laughing, talking, drinking and dancing. Those were smart people; they knew how to get hold of money, millions of it. Maybe if he were working for them something would happen and he would get some of it. He would see just how they did it. Sure, it was all a game and white people knew how to play it. And rich white people were not so hard on Negroes; it was the poor whites who hated Negroes. They hated Negroes because they didn t have their share of the money. His mother had always told him that rich white people liked Negroes better than they did poor whites. ",0.073170732,0.03902439,0.034146341,207
"He felt that if he were a poor white and did not get his share of the money, then he would deserve to be kicked. ",0.076923077,0.038461538,0.038461538,25
"Poor white people were stupid. It was the rich white people who were smart and knew how to treat people. He remembered hearing somebody tell a story of a Negro chauffeur who had married a rich white girl and the girl s family had shipped the couple out of the country and had supplied them with money. Yes, his going to work for the Daltons was something big. Mr. Dalton was a millionaire. Maybe Mary Dalton was a hot kind of girl; maybe she spent lots of money; maybe she d like to come to the South Side and see the sights sometimes. Or maybe she had a secret sweetheart and only he would know about it because he would have to drive her around; maybe she would give him money not to tell. He was a fool for wanting to rob Blum s just when he was about to get a good job. Why hadn t he thought of that before? Why take a fool s chance when other things, big things, could happen? If something slipped up this afternoon he would be out of a job and in jail, maybe. And he wasn t so hot about robbing Blum s, anyway. He frowned in the darkened movie, hearing the roll of tom-toms and the screams of black men and women dancing free and wild, men and women who were adjusted to their soil and at home in their world, secure from fear and hysteria.  Come on, Bigger, ù Jack said.  We gotta go. ù Hunh? ù It s twenty to three. ù He rose and walked down the dark aisle over the soft, invisible carpet. He had seen practically nothing of the picture, but he did not care. As he walked into the lobby his insides tightened again with the thought of Gus and Blum s.  Swell, wasn t it? ù  Yeah; it was a killer, ù Bigger said. He walked alongside Jack briskly until they came to Thirty ninth Street.  We better get our guns, ù Bigger said.  Yeah. ù  We got about fifteen minutes. ù  ù  So long. ù He walked home with a mounting feeling of ",0.052941176,0.023529412,0.029411765,361
fear. ,0.5,0.5,0,1
"When he reached his doorway, he hesitated about going up. He didn t want to rob Blum s; he was ",0.052631579,0,0.052631579,20
scared. ,0.5,0.5,0,1
"But he had to go through with it now. Noiselessly, he went up the steps and inserted his key in the lock; the door swung in silently and he heard his mother singing behind the curtain. Lord, I want to be a Christian, In my heart, in my heart, Lord, I want to be a Christian, In my heart, in my heart _.He tiptoed into the room and lifted the top mattress of his bed and pulled forth the gun and slipped it inside of his shirt. Just as he was about to open the door his mother paused in her singing.  That you, Bigger? ù He stepped quickly into the outer hallway and slammed the door and bounded headlong down the stairs. He went to the vestibule and swung through the door into the street, feeling that ball of hot tightness growing larger and heavier in his stomach and chest. He opened his mouth to breathe. He headed for Doc s and came to the door and looked inside. Jack and G.H. were shooting pool at a rear table. Gus was not there. ",0.043956044,0.005494505,0.038461538,184
He felt a slight lessening of nervous tension ,0.111111111,0.333333333,-0.222222222,8
"and swallowed. He looked up and down the street; very few people were out and the cop was not in sight. A clock in a window across the street told him that it was twelve minutes to three. Well, this was it; he had to go in. He lifted his left hand and wiped sweat from his forehead in a long slow gesture. He hesitated a moment longer at the door, then went in, walking with firm steps to the rear table. He did not speak to Jack or G.H., nor they to him. He lit a cigarette with shaking fingers and watched the spinning billiard balls roll and gleam and clack over the green stretch of cloth, dropping into holes after bounding to and fro from the rubber cushions. ",0.015267176,0.015267176,0,130
He felt impelled to say something to ease the swelling in his chest. ,0.142857143,0,0.142857143,13
"Hurriedly, he flicked his cigarette into a spittoon and, with twin eddies of blue smoke jutting from his black nostrils, shouted hoarsely, Jack, I betcha two bits you can t make it! ùJack did not answer; the ball shot straight across the table and vanished into a side pocket. You would ve lost, ù Jack said. Too late now, ù Bigger said.  You wouldn t bet, so you lost. ùHe spoke without looking. His entire body ",0.029850746,0.014925373,0.014925373,76
hungered ,0.5,0,0.5,1
"for keen sensation, something exciting and violent to relieve the tautness. It was now ten minutes to three and Gus had not come. If Gus stayed away much longer, it would be too late. And Gus knew that. If they were going to do anything, it certainly ought to be done before folks started coming into the streets to buy their food for supper, and while the cop was down at the other end of the block. That bastard! ù Bigger said.  I knew it! ù Oh, he ll be along, ù Jack said. Sometimes I d like to cut his yellow heart out, ù Bigger said, fingering the knife in his pocket. Maybe he s hanging around some meat, ù G.H. said. He s just scared, ù Bigger said.  Scared to rob a white man. ùThe billiard balls clacked. Jack chalked his cue stick and the metallic noise made Bigger grit his teeth until they ached. He didn t like that noise; it made him feel like cutting something with his knife. If he makes us miss this job, I ll fix  im, so help me, ù Bigger said.  He oughtn t be late. Every time somebody s late, things go wrong. Look at the big guys. You don t ever hear of them being; late, do you? Naw! They work like clocks! ù  Ain t none of us got more guts n Gus, ù G.H. said.  He s been with us every time. ù Aw, shut your trap, ù Bigger said. There you go again, Bigger, ù G.H. said.  Gus was just talking about how you act this morning. You get too nervous when something s coming off _. ù Don t tell me I m nervous, ù Bigger said. If we don t do it today, we can do it tomorrow, ù Jack said. Tomorrow s Sunday, fool! ù Bigger, for Chrissakes! Don t holler! ù Jack said tensely.Bigger looked at Jack hard and long, then turned away with a grimace. Don t tell the world what we re trying to do, ù Jack whispered in a mollifying tone.Bigger walked to the front of the store and stood looking out of the plate glass window. Then, suddenly,",0.028391167,0.018927445,0.009463722,370
he felt sick. ,0.25,0.25,0,3
"He saw Gus coming along the street. And his muscles stiffened. He was going to do something to Gus; just what, he did not know. As Gus neared he heard him whistling:  The Merry-Go-Round Broke Down _. ù The door swung in. Hi, Bigger, ù Gus said.Bigger did not answer. Gus passed him and started toward the rear tables. Bigger whirled and kicked him hard. Gus flopped on his face with a single movement of his body. With a look that showed that he was looking at Gus on the floor and at Jack and G.H. at the rear table and at Doc îlooking at them all at once in a kind of smiling, roving, turning-slowly glance îBigger laughed, softly at first, then harder, louder, hysterically; feeling something like hot water bubbling inside of him and trying to come out. Gus got up and stood, quiet, his mouth open and his eyes dead-black with hate. Take it easy, boys, ù Doc said, looking up from behind his counter, and then bending over again. What you kick me for? ù Gus asked.  Cause I wanted to, ù Bigger said.Gus looked at Bigger with lowered eyes. G.H. and Jack leaned on their cue sticks and watched silently. I m going to fix you one of these days, ù Gus threatened. Say that again, ù Bigger said.Doc laughed, straightening and looking at Bigger. Lay off the boy, Bigger. ùGus turned and walked toward the rear tables. Bigger, with an amazing bound, grabbed him in the back of his collar. I asked you to say that again! ù Quit, Bigger! ù Gus spluttered, choking, sinking to his knees. Don t tell me to quit! ùThe muscles of his body gave a tightening lunge and he saw his fist come down on the side of Gus s head; he had struck him really before he was conscious of doing so. Don t hurt  im, ù Jack said. I ll kill  im, ù Bigger said through shut teeth, tightening his hold on Gus s collar, choking him harder. T-turn m-m-m-me l-l-loose, ù Gus gurgled, struggling. Make me! ù Bigger said, drawing his fingers tighter.Gus was very still, resting on his knees. Then, like a taut bow finding release, he sprang to his feet, shaking loose from Bigger and turning to get away. Bigger staggered back against the wall, breathless for a moment. Bigger s hand moved so swiftly that nobody saw it; a gleaming blade flashed. He made a long step, as graceful as an animal leaping, threw out his left foot and tripped Gus to the floor. Gus turned over to rise, but Bigger was on top of him, with the knife open and ready. Get up! Get up and I ll slice your tonsils! ùGus lay still. That s all right, Bigger, ù Gus said in surrender.  Lemme up. ù You trying to make a fool out of me, ain t you? ù Naw, ù Gus said, his lips scarcely moving. You Goddamn right you ain t, ù Bigger said.His face softened a bit and the hard glint in his bloodshot eyes died. But he still knelt with the open knife. Then he stood. Get up! ù he said. Please, Bigger! ù You want me to slice you? ùHe stooped again and placed the knife at Gus s throat. Gus did not move and his large black eyes looked pleadingly. Bigger was not satisfied;",0.027504912,0.031434185,-0.003929273,570
he felt his muscles tightening again.,0,0,0,6
" Get up! I ain t going to ask you no more! ùSlowly, Gus stood. Bigger held the open blade an inch from Gus s lips. Lick it, ù Bigger said, his body tingling with ",0.066666667,0,0.066666667,34
elation.,1,0,1,1
"Gus s eyes filled with tears. Lick it, I said! You think I m playing? ùGus looked round the room without moving his head, just rolling his eyes in a mute appeal for help. But no one moved. Bigger s left fist was slowly lifting to strike. Gus s lips moved toward the knife; he stuck out his tongue and touched the blade. Gus s lips quivered and tears streamed down his cheeks. Hahahaha! ù Doc laughed. Aw, leave  im alone, ù Jack called.Bigger watched Gus with lips twisted in a crooked smile. Say, Bigger, ain t you scared  im enough? ù Doc asked.Bigger did not answer. His eyes gleamed hard again, pregnant with another idea. Put your hands up, way up! ù he said.Gus swallowed and stretched his hands high along the wall. Leave  im alone, Bigger, ù G.H. called weakly. I m doing this, ù Bigger said.He put the tip of the blade into Gus s shirt and then made an arc with his arm, as though cutting a circle. How would you like me to cut your belly button out? ùGus did not answer. Sweat trickled down his temples. His lips hung wide, loose. Shut them liver lips of yours! ùGus did not move a muscle. Bigger pushed the knife harder into Gus s stomach. Bigger! ù Gus said in a tense whisper. Shut your mouth! ùGus shut his mouth. Doc laughed. Jack and G.H. laughed. Then Bigger stepped back and looked at Gus with a smile. You clown, ù he said.  Put your hands down and set on that chair. ù He watched Gus sit.  That ought to teach you not to be late next time, see? ù  We ain t late, Bigger. We still got time _. ù Shut up! It is late! ù Bigger insisted commandingly.Bigger turned aside; then, hearing a sharp scrape on the floor, stiffened. Gus sprang from the chair and grabbed a billiard ball from the table and threw it with a half-sob and half-curse. Bigger flung his hands upward to shield his face and the impact of the ball struck his wrist. He had shut his eyes when he had glimpsed the ball sailing through the air toward him and when he opened his eyes Gus was flying through the rear door and at the same time he heard the ball hit the floor and roll away. A hard pain throbbed in his hand. He sprang forward, cursing. You sonofabitch! ùHe slipped on a cue stick lying in the middle of the floor and tumbled forward. That s enough now, Bigger, ù Doc said, laughing.Jack and G.H. also laughed. Bigger rose and faced them, holding his hurt hand. His eyes were red and he stared with speechless ",0.016949153,0.036319613,-0.01937046,457
hate.,0,0,0,1
